Unnamed: 0,total,expected,hits,Raw p,Holm p,FDR,group
Phosphatidylethanolamine Biosynthesis,12,0.223,3,0.00107,0.105,0.0567,B6_TfhvsB6_Tn
Purine Metabolism,74,1.37,6,0.00148,0.14400000000000002,0.0567,B6_TfhvsB6_Tn
Phosphatidylcholine Biosynthesis,14,0.26,3,0.0017399999999999998,0.16699999999999998,0.0567,B6_TfhvsB6_Tn
Aspartate Metabolism,35,0.649,4,0.0030800000000000003,0.293,0.0755,B6_TfhvsB6_Tn
Pantothenate and CoA Biosynthesis,21,0.39,3,0.00584,0.5489999999999999,0.10800000000000001,B6_TfhvsB6_Tn
Methionine Metabolism,43,0.7979999999999999,4,0.0066,0.614,0.10800000000000001,B6_TfhvsB6_Tn
Phenylacetate Metabolism,9,0.16699999999999998,2,0.0109,1.0,0.14300000000000002,B6_TfhvsB6_Tn
Phenylalanine and Tyrosine Metabolism,28,0.52,3,0.0132,1.0,0.14300000000000002,B6_TfhvsB6_Tn
Selenoamino Acid Metabolism,28,0.52,3,0.0132,1.0,0.14300000000000002,B6_TfhvsB6_Tn
Urea Cycle,29,0.5379999999999999,3,0.0146,1.0,0.14300000000000002,B6_TfhvsB6_Tn
Purine Metabolism,74,1.3,7,0.00013000000000000002,0.0127,0.0127,TC_TfhvsB6_Tfh
Arginine and Proline Metabolism,53,0.932,5,0.00157,0.153,0.0579,TC_TfhvsB6_Tfh
Ammonia Recycling,32,0.562,4,0.0017699999999999999,0.17,0.0579,TC_TfhvsB6_Tfh
Methionine Metabolism,43,0.7559999999999999,4,0.005379999999999999,0.511,0.132,TC_TfhvsB6_Tfh
Glutamate Metabolism,49,0.861,4,0.00863,0.8109999999999999,0.16899999999999998,TC_TfhvsB6_Tfh
Malate-Aspartate Shuttle,10,0.17600000000000002,2,0.0121,1.0,0.19699999999999998,TC_TfhvsB6_Tfh
Glycine and Serine Metabolism,59,1.04,4,0.0166,1.0,0.213,TC_TfhvsB6_Tfh
Phosphatidylethanolamine Biosynthesis,12,0.21100000000000002,2,0.0174,1.0,0.213,TC_TfhvsB6_Tfh
Phosphatidylethanolamine Biosynthesis,12,0.223,3,0.00107,0.105,0.0567,TC_TfhvsTC_Tn
Purine Metabolism,74,1.37,6,0.00148,0.14400000000000002,0.0567,TC_TfhvsTC_Tn
Phosphatidylcholine Biosynthesis,14,0.26,3,0.0017399999999999998,0.16699999999999998,0.0567,TC_TfhvsTC_Tn
Aspartate Metabolism,35,0.649,4,0.0030800000000000003,0.293,0.0755,TC_TfhvsTC_Tn
Pantothenate and CoA Biosynthesis,21,0.39,3,0.00584,0.5489999999999999,0.10800000000000001,TC_TfhvsTC_Tn
Methionine Metabolism,43,0.7979999999999999,4,0.0066,0.614,0.10800000000000001,TC_TfhvsTC_Tn
Phenylacetate Metabolism,9,0.16699999999999998,2,0.0109,1.0,0.14300000000000002,TC_TfhvsTC_Tn
Phenylalanine and Tyrosine Metabolism,28,0.52,3,0.0132,1.0,0.14300000000000002,TC_TfhvsTC_Tn
Selenoamino Acid Metabolism,28,0.52,3,0.0132,1.0,0.14300000000000002,TC_TfhvsTC_Tn
Urea Cycle,29,0.5379999999999999,3,0.0146,1.0,0.14300000000000002,TC_TfhvsTC_Tn
